ATR_Stop,R_Target,Win_Rate,Avg_Winner,Avg_Loser,Expectancy,Profit_Factor,Total_Profit,Winners,Losers
0.6,Redline(1.0R),30.0,2.5972222222222223,1.0,0.07916666666666669,1.1130952380952381,31.166666666666668,12,28
0.6,Redline(1.1R),30.0,2.6138888888888894,1.0,0.08416666666666672,1.1202380952380955,31.36666666666667,12,28
0.6,Redline(1.2R),30.0,2.630555555555556,1.0,0.0891666666666667,1.1273809523809526,31.56666666666667,12,28
0.6,Redline(1.3R),30.0,2.6472222222222226,1.0,0.09416666666666673,1.1345238095238097,31.76666666666667,12,28
0.6,Redline(1.4R),30.0,2.663888888888889,1.0,0.09916666666666671,1.1416666666666668,31.96666666666667,12,28
0.6,Redline(1.5R),30.0,2.680555555555556,1.0,0.1041666666666667,1.148809523809524,32.16666666666667,12,28
0.6,Redline(1.6R),30.0,2.697222222222223,1.0,0.10916666666666677,1.155952380952381,32.36666666666667,12,28
0.6,Redline(1.7R),30.0,2.713888888888889,1.0,0.11416666666666675,1.1630952380952382,32.56666666666667,12,28
0.6,Redline(1.8R),30.0,2.730555555555556,1.0,0.11916666666666673,1.1702380952380953,32.766666666666666,12,28
0.6,Redline(1.9R),30.0,2.7472222222222222,1.0,0.12416666666666672,1.1773809523809524,32.96666666666667,12,28
0.6,Redline(2.0R),30.0,2.7638888888888893,1.0,0.1291666666666667,1.1845238095238098,33.16666666666667,12,28
0.6,Redline(2.1R),30.0,2.7805555555555563,1.0,0.13416666666666677,1.1916666666666667,33.36666666666667,12,28
0.6,Redline(2.2R),30.0,2.7972222222222225,1.0,0.13916666666666666,1.198809523809524,33.56666666666667,12,28
0.6,Redline(2.3R),30.0,2.8138888888888896,1.0,0.14416666666666672,1.2059523809523809,33.766666666666666,12,28
0.6,Redline(2.4R),30.0,2.8305555555555557,1.0,0.14916666666666673,1.2130952380952382,33.96666666666667,12,28
0.6,Redline(2.5R),30.0,2.8472222222222228,1.0,0.1541666666666667,1.2202380952380953,34.16666666666667,12,28
0.6,Redline(2.6R),30.0,2.8638888888888894,1.0,0.15916666666666676,1.2273809523809525,34.36666666666667,12,28
0.6,Redline(2.7R),30.0,2.880555555555556,1.0,0.16416666666666666,1.2345238095238096,34.56666666666667,12,28
0.6,Redline(2.8R),30.0,2.8972222222222226,1.0,0.16916666666666674,1.2416666666666667,34.766666666666666,12,28
0.6,Redline(2.9R),30.0,2.913888888888889,1.0,0.17416666666666672,1.2488095238095238,34.96666666666667,12,28
0.6,Redline(3.0R),30.0,2.930555555555556,1.0,0.1791666666666667,1.2559523809523812,35.16666666666667,12,28
0.6,Redline(3.1R),30.0,2.947222222222223,1.0,0.18416666666666676,1.263095238095238,35.36666666666667,12,28
0.6,Redline(3.2R),30.0,2.963888888888889,1.0,0.18916666666666665,1.2702380952380954,35.56666666666667,12,28
0.6,Redline(3.3R),30.0,2.9805555555555556,1.0,0.19416666666666674,1.2773809523809523,35.766666666666666,12,28
0.6,Redline(3.4R),30.0,2.9972222222222222,1.0,0.1991666666666668,1.2845238095238096,35.96666666666667,12,28
0.6,Redline(3.5R),30.0,3.0138888888888893,1.0,0.2041666666666667,1.2916666666666667,36.16666666666667,12,28
0.6,Redline(3.6R),30.0,3.0305555555555563,1.0,0.20916666666666678,1.2988095238095239,36.36666666666667,12,28
0.6,Redline(3.7R),30.0,3.0472222222222225,1.0,0.21416666666666667,1.305952380952381,36.56666666666667,12,28
0.6,Redline(3.8R),30.0,3.0638888888888887,1.0,0.21916666666666673,1.313095238095238,36.766666666666666,12,28
0.6,Redline(3.9R),30.0,3.0805555555555557,1.0,0.2241666666666668,1.3202380952380952,36.96666666666667,12,28
0.6,Redline(4.0R),30.0,3.0972222222222228,1.0,0.22916666666666669,1.3273809523809526,37.16666666666667,12,28
0.6,Redline(4.1R),30.0,3.113888888888889,1.0,0.23416666666666677,1.3345238095238094,37.36666666666667,12,28
0.6,Redline(4.2R),30.0,3.130555555555556,1.0,0.23916666666666667,1.3416666666666668,37.56666666666667,12,28
0.6,Redline(4.3R),30.0,3.147222222222222,1.0,0.24416666666666673,1.3488095238095237,37.766666666666666,12,28
0.6,Redline(4.4R),30.0,3.163888888888889,1.0,0.24916666666666681,1.355952380952381,37.96666666666667,12,28
0.6,Redline(4.5R),30.0,3.180555555555556,1.0,0.2541666666666667,1.3630952380952384,38.16666666666667,12,28
0.6,Redline(4.6R),30.0,3.1972222222222224,1.0,0.25916666666666677,1.3702380952380953,38.36666666666667,12,28
0.6,Redline(4.7R),27.500000000000004,3.0787878787878795,1.0,0.12166666666666677,1.167816091954023,33.86666666666667,11,29
0.6,Redline(4.8R),27.500000000000004,3.0878787878787888,1.0,0.12416666666666672,1.1712643678160921,33.96666666666667,11,29
0.6,Redline(4.9R),27.500000000000004,3.096969696969697,1.0,0.12666666666666665,1.174712643678161,34.06666666666667,11,29
0.6,Redline(5.0R),27.500000000000004,3.1060606060606064,1.0,0.1291666666666667,1.17816091954023,34.16666666666667,11,29
0.6,1.0R,30.0,1.0,1.0,-0.4,0.42857142857142855,12.0,12,28
0.6,1.1R,30.0,1.0999999999999999,1.0,-0.37,0.4714285714285715,13.200000000000001,12,28
0.6,1.2R,30.0,1.1999999999999997,1.0,-0.34,0.5142857142857142,14.399999999999999,12,28
0.6,1.3R,30.0,1.3000000000000003,1.0,-0.30999999999999994,0.5571428571428572,15.600000000000001,12,28
0.6,1.4R,30.0,1.4000000000000001,1.0,-0.27999999999999997,0.5999999999999999,16.799999999999997,12,28
